OBJECTID;IDEST;ESTACION;DIRECC;POBLACION;LINK_ESTAC;ZONA;LINK_ZONA;PROVCOD;NO2;NO_;NOX;O3;CO;SO2;PST;PM10;PM2_5;BEN;ETB;MPX;O_X;TOL;NH3;SH2;HC;MSV;CL2;HCL;HCMET;HCNOMET;TEMPERATUR;HUMEDAD;PRESION;RADIACION;RAD_UV;LLUVIA;LL_ACIDA;DIR_VIENTO;V_VIENTO;XUTM;YUTM
64;24,00;Easo;Plaza Centenario;Donostia;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@DONOS&CodEst=EASO&lenguaje=c;Donostialdea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@DONOS;GIPUZKOA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;582772,51;4796223,45
65;25,00;Eibar;;Eibar;;;;GIPUZKOA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543818,00;4781984,57
66;26,00;Elciego;C/Gabriel Celaya,8;Elciego;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@RIOJA&CodEst=ELCIEG&lenguaje=c;Rioja Alavesa/Arabako errioxa;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@RIOJA;ARABA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;531363,16;4707600,83
67;27,00;Elgoibar;Ermuaren bide Kalea,7-1,bj;Elgoibar;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@KOSTA&CodEst=ELGOIB&lenguaje=c;Kostaldea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@KOSTA;GIPUZKOA;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;548063,19;4785172,22
68;28,00;Elorrieta;Avda.Lehendakari Agirre s/n,;Bilbao;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=ELORRI&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;502888,04;4792447,11
69;29,00;Erandio;JoséLuis Goyoaga Etorb.s/n;Erandio;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=ERANDI&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;501949,21;4794629,17
70;30,00;Farmacia;Paseo Universidad 7-Fac.Farmacia;Vitoria-Gasteiz;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@LLALV&CodEst=FARMAC&lenguaje=c;Llanada Alavesa/Arabako lautada;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@LLALV;ARABA;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;526850,71;4743322,36
71;31,00;Feria;C/Rafael Moreno Pitxitxi s/n;Bilbao;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=FERIA&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;504219,55;4790452,25
72;32,00;Getxo (Trinitarios);C/Lorenzo Areilza, 2;Getxo;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=GETXO&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;499026,28;4800335,78
73;33,00;Hernani;Centro de Salud;Hernani;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@DONOS&CodEst=HERNA1&lenguaje=c;Donostialdea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@DONOS;GIPUZKOA;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;583056,62;4791230,07
74;34,00;Herrán reubicado (Judimendi);Judizmendi Parkea;Vitoria-Gasteiz;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@LLALV&CodEst=HERRAN&lenguaje=c;Llanada Alavesa/Arabako lautada;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@LLALV;ARABA;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;527789,00;4743721,93
75;35,00;Indauchu  reubicado;;Bilbao;;;;BIZKAIA;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;504952,62;4789929,93
76;36,00;Irún;Avenida de la Aduana, 28;Irún;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@DONOS&CodEst=IRUN&lenguaje=c;Donostialdea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@DONOS;GIPUZKOA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;597491,59;4799296,97
77;37,00;Izki;Bº Urturi s/n;Bernedo;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@RIBER&CodEst=IZKI&lenguaje=c;Alava Meridional/Hegoaldeko Araba;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@RIBER;ARABA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;540968,42;4722644,03
78;38,00;Jaizkibel;Monte Jaizkibel s/n;Donostia;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@KOSTA&CodEst=JAIZKI&lenguaje=c;Kostaldea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@KOSTA;GIPUZKOA;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;592750,16;4799845,36
79;39,00;Lantaron;C/Ayuntamiento,2;Lantaron;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@RIBER&CodEst=LNTRON&lenguaje=c;Alava Meridional/Hegoaldeko Araba;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@RIBER;ARABA;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;501674,68;4729385,80
80;40,00;Larrabetzu;Berrezoaga Auzoa,3;Larrabetzu;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@IBDEB&CodEst=LARRAB&lenguaje=c;Ibaizabal-Alto Deba/Ibaizabal-Deba garaia;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@IBDEB;BIZKAIA;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;516385,77;4790053,82
81;41,00;Larraskitu;Larraskitu;Bilbao;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=LARRAS&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505471,09;4788206,54
82;42,00;Lemona;C/Juan de Ajuriaguerra s/n;Lemoa;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@IBDEB&CodEst=LEMONA&lenguaje=c;Ibaizabal-Alto Deba/Ibaizabal-Deba garaia;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@IBDEB;BIZKAIA;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;518078,39;4784461,64
83;43,00;Lezo;Plaza Polantzarene s/n;Lezo;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@DONOS&CodEst=LEZO&lenguaje=c;Donostialdea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@DONOS;GIPUZKOA;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;589287,25;4797317,01
84;44,00;Llodio;C/Lamuza s/n;Llodio;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@ALTNV&CodEst=LLOD1&lenguaje=c;Alto Nervión/Nerbioi garaia;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@ALTNV;ARABA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;503083,53;4777017,56
85;45,00;Mª Diaz Haro;;Bilbao;;;;BIZKAIA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;504505,55;4789769,72
86;46,00;Mazarredo;C/Alda.Mazarredo(Guggenheim);Bilbao;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=MAZARR&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505375,65;4790737,27
87;47,00;Mondragón;Laubide Enparantza s/n;Mondragon;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@IBDEB&CodEst=MONDR1&lenguaje=c;Ibaizabal-Alto Deba/Ibaizabal-Deba garaia;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@IBDEB;GIPUZKOA;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;541599,37;4768269,53
1;48,00;Montorra;Barrio Montorra fte.nº5;Amorebieta;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@IBDEB&CodEst=MONTOR&lenguaje=c;Ibaizabal-Alto Deba/Ibaizabal-Deba garaia;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@IBDEB;;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;523127,67;4784271,84
2;51,00;Movil 3;;Elorrio;;;;BIZKAIA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1;537791,53;4775458,32
3;52,00;Mundaka;Parque de Urdaibai;Mundaka;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@KOSTA&CodEst=ESMUN&lenguaje=c;Kostaldea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@KOSTA;BIZKAIA;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;524141,94;4806139,42
4;53,00;Muskiz;Estación de Renfe;Muskiz;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@KOSTA&CodEst=MUSKIZ&lenguaje=c;Kostaldea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@KOSTA;BIZKAIA;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;1;1;490965,97;4796644,32
5;54,00;Nautica;MªDz.Haro,68(E.Nautica);Portugalete;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=NAUTIC&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;498227,83;4797364,04
6;55,00;Ondiz;Probadero de Ondiz s/n;Leioa;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=ONDIZ&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500580,39;4796865,14
7;56,00;Pagoeta;Parque Natural de Pagoeta;Aia;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@KOSTA&CodEst=PAGOET&lenguaje=c;Kostaldea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@KOSTA;GIPUZKOA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;568708,67;4789200,33
8;57,00;Parque Europa;Pq. Europa s/n (Txurdinaga);Bilbao;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=EUROPA&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;508031,12;4789334,55
9;58,00;Parque San Martín;Parque San Martín s/n;Vitoria-Gasteiz;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@LLALV&CodEst=MARTIN&lenguaje=c;Llanada Alavesa/Arabako lautada;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@LLALV;ARABA;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;525537,32;4744065,44
10;59,00;Puio;C/Puyo, 14;Donostia;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@DONOS&CodEst=PUYO&lenguaje=c;Donostialdea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@DONOS;GIPUZKOA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;582509,62;4795149,42
11;60,00;Renteria;Poligono Olibet s/n;Renteria;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@DONOS&CodEst=RENTE1&lenguaje=c;Donostialdea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@DONOS;GIPUZKOA;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;589363,80;4796545,94
12;61,00;San Adrián;Avda.San Adrián s/n;Bilbao;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=ADRIAN&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505436,04;4788791,68
13;62,00;Sangroniz reubicado;C/Iturrikosolo s/n;Sondika;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=SGRNIZ&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;505753,73;4794166,71
14;63,00;Santa Ana;Plaza Santa Ana s/n;Getxo;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=STAANA&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;499216,80;4796977,78
15;64,00;Santurce;C/Vista Alegre, 29;Santurce;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=SANTUR&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;496086,58;4798306,06
16;65,00;Serantes;Monte Serantes s/n;Santurce;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@KOSTA&CodEst=SERANT&lenguaje=c;Kostaldea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@KOSTA;BIZKAIA;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;495002,48;4798160,22
